time_ms,adc_value,voltage,status
999,413,2.019,NORMAL
2000,500,2.444,NORMAL
3001,553,2.703,NORMAL
4002,557,2.722,NORMAL
5003,470,2.297,NORMAL
6004,432,2.111,NORMAL
7005,413,2.019,NORMAL
8006,549,2.683,NORMAL
9007,860,4.203,FAIL
10008,1023,5.000,FAIL
11009,1023,5.000,FAIL
12010,0,0.000,NORMAL
13010,95,0.464,NORMAL
14012,242,1.183,NORMAL
15012,352,1.720,NORMAL
16014,440,2.151,NORMAL
17014,530,2.590,NORMAL
18016,640,3.128,WARN
19016,701,3.426,WARN
20018,754,3.685,WARN
21018,837,4.091,FAIL
22020,940,4.594,FAIL
23020,1023,5.000,FAIL
24022,1023,5.000,FAIL
25022,0,0.000,NORMAL
26023,182,0.890,NORMAL
27024,379,1.852,NORMAL
28025,508,2.483,NORMAL
29026,508,2.483,NORMAL
30027,508,2.483,NORMAL
31028,508,2.483,NORMAL
32029,508,2.483,NORMAL
33030,508,2.483,NORMAL
34031,508,2.483,NORMAL
35032,508,2.483,NORMAL
36033,508,2.483,NORMAL
37033,508,2.483,NORMAL
38035,508,2.483,NORMAL
39035,508,2.483,NORMAL
40037,508,2.483,NORMAL
41037,508,2.483,NORMAL
42039,508,2.483,NORMAL
43039,508,2.483,NORMAL
44041,508,2.483,NORMAL
45041,508,2.483,NORMAL
46043,508,2.483,NORMAL
47043,508,2.483,NORMAL
48045,508,2.483,NORMAL




